model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score,tp,fp,tn,fn
security_camera_forest_gini_21,test,sequence,1,99,1,0.931,1.0,0.31,0.47328244274809156,100,0.655,31,0,900,69
security_camera_forest_gini_23,test,session,1,1,0,0.934,0.9316770186335404,1.0,0.9646302250803859,900,0.67,34,0,900,66
security_camera_forest_gini_23,test,session,1,1,1,0.934,1.0,0.34,0.5074626865671642,100,0.67,34,0,900,66
security_camera_forest_gini_23,test,sequence,1,99,0,0.934,0.9316770186335404,1.0,0.9646302250803859,900,0.67,34,0,900,66
security_camera_forest_gini_23,test,sequence,1,99,1,0.934,1.0,0.34,0.5074626865671642,100,0.67,34,0,900,66
security_camera_forest_gini_3,test,session,1,1,0,0.961,0.9684439608269858,0.9888888888888889,0.9785596481583289,900,0.8494444444444444,71,10,890,29
security_camera_forest_gini_3,test,session,1,1,1,0.961,0.8765432098765432,0.71,0.7845303867403315,100,0.8494444444444444,71,10,890,29
security_camera_forest_gini_3,test,sequence,1,99,0,0.961,0.9684439608269858,0.9888888888888889,0.9785596481583289,900,0.8494444444444444,71,10,890,29
security_camera_forest_gini_3,test,sequence,1,99,1,0.961,0.8765432098765432,0.71,0.7845303867403315,100,0.8494444444444444,71,10,890,29
security_camera_forest_gini_7,test,session,1,1,0,0.916,0.9146341463414634,1.0,0.9554140127388536,900,0.58,16,0,900,84
security_camera_forest_gini_7,test,session,1,1,1,0.916,1.0,0.16,0.2758620689655173,100,0.58,16,0,900,84
security_camera_forest_gini_7,test,sequence,1,99,0,0.916,0.9146341463414634,1.0,0.9554140127388536,900,0.58,16,0,900,84
security_camera_forest_gini_7,test,sequence,1,99,1,0.916,1.0,0.16,0.2758620689655173,100,0.58,16,0,900,84
security_camera_MLP_1_1,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_1,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_1,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_1,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_1_sgd,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_1_sgd,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_1_sgd,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_1_sgd,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_2,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_2,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_2,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_2,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_2_sgd,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_2_sgd,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_2_sgd,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_2_sgd,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_3,test,session,1,1,0,0.965,0.9988465974625144,0.9622222222222222,0.9801924165251839,900,0.9761111111111112,99,34,866,1
security_camera_MLP_1_3,test,session,1,1,1,0.965,0.7443609022556391,0.99,0.8497854077253219,100,0.9761111111111112,99,34,866,1
security_camera_MLP_1_3,test,sequence,1,99,0,0.965,0.9988465974625144,0.9622222222222222,0.9801924165251839,900,0.9761111111111112,99,34,866,1
security_camera_MLP_1_3,test,sequence,1,99,1,0.965,0.7443609022556391,0.99,0.8497854077253219,100,0.9761111111111112,99,34,866,1
security_camera_MLP_1_3_sgd,test,session,1,1,0,0.945,0.9941520467836257,0.9444444444444444,0.9686609686609685,900,0.9472222222222222,95,50,850,5
security_camera_MLP_1_3_sgd,test,session,1,1,1,0.945,0.6551724137931034,0.95,0.7755102040816326,100,0.9472222222222222,95,50,850,5
security_camera_MLP_1_3_sgd,test,sequence,1,99,0,0.945,0.9941520467836257,0.9444444444444444,0.9686609686609685,900,0.9472222222222222,95,50,850,5
security_camera_MLP_1_3_sgd,test,sequence,1,99,1,0.945,0.6551724137931034,0.95,0.7755102040816326,100,0.9472222222222222,95,50,850,5
security_camera_MLP_1_4,test,session,1,1,0,0.98,0.9943820224719101,0.9833333333333333,0.9888268156424581,900,0.9666666666666666,95,15,885,5
security_camera_MLP_1_4,test,session,1,1,1,0.98,0.8636363636363636,0.95,0.9047619047619048,100,0.9666666666666666,95,15,885,5
security_camera_MLP_1_4,test,sequence,1,99,0,0.98,0.9943820224719101,0.9833333333333333,0.9888268156424581,900,0.9666666666666666,95,15,885,5
security_camera_MLP_1_4,test,sequence,1,99,1,0.98,0.8636363636363636,0.95,0.9047619047619048,100,0.9666666666666666,95,15,885,5
security_camera_MLP_1_4_sgd,test,session,1,1,0,0.947,0.9941656942823804,0.9466666666666667,0.9698349459305635,900,0.9483333333333333,95,48,852,5
security_camera_MLP_1_4_sgd,test,session,1,1,1,0.947,0.6643356643356644,0.95,0.7818930041152263,100,0.9483333333333333,95,48,852,5
security_camera_MLP_1_4_sgd,test,sequence,1,99,0,0.947,0.9941656942823804,0.9466666666666667,0.9698349459305635,900,0.9483333333333333,95,48,852,5
security_camera_MLP_1_4_sgd,test,sequence,1,99,1,0.947,0.6643356643356644,0.95,0.7818930041152263,100,0.9483333333333333,95,48,852,5
security_camera_MLP_1_5,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_5,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_5,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_5,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_5_sgd,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_5_sgd,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_1_5_sgd,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_1_5_sgd,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_1,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_1,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_1,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_1,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_1_sgd,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_1_sgd,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_1_sgd,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_1_sgd,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
